52,2,1530.37,11.60,68.69,178.57,0.91,-1,-1,-1
52,3,505.06,157.01,76.31,181.29,0.89,-1,-1,-1
53,1,446.87,160.83,79.68,175.18,0.92,-1,-1,-1
53,2,1531.27,11.53,68.73,179.04,0.92,-1,-1,-1
53,3,505.02,156.89,76.57,181.65,0.89,-1,-1,-1
54,1,446.38,160.82,80.03,175.28,0.91,-1,-1,-1
54,2,1531.54,11.67,68.88,179.84,0.92,-1,-1,-1
54,3,504.75,156.96,76.72,181.79,0.89,-1,-1,-1
55,1,446.09,160.80,80.39,175.33,0.93,-1,-1,-1
55,2,1532.56,12.38,68.85,180.13,0.92,-1,-1,-1
55,3,504.51,157.31,76.61,181.63,0.90,-1,-1,-1
56,1,445.97,161.02,80.56,175.12,0.93,-1,-1,-1
56,2,1533.07,13.20,68.57,179.68,0.92,-1,-1,-1
56,3,504.43,157.44,76.56,181.57,0.90,-1,-1,-1
57,1,445.74,161.21,80.57,174.72,0.93,-1,-1,-1
57,2,1533.18,13.72,68.60,180.07,0.92,-1,-1,-1
57,3,504.78,157.26,76.23,181.10,0.90,-1,-1,-1
58,1,445.55,161.39,80.79,174.68,0.93,-1,-1,-1
58,2,1533.33,14.63,68.38,179.71,0.92,-1,-1,-1
58,3,505.10,157.08,76.19,181.15,0.90,-1,-1,-1
59,1,445.52,161.56,80.80,174.34,0.92,-1,-1,-1
59,2,1534.34,15.30,68.14,179.23,0.92,-1,-1,-1
59,3,505.31,157.23,75.99,180.95,0.90,-1,-1,-1
60,1,445.58,161.62,80.67,173.99,0.92,-1,-1,-1
60,2,1534.69,16.37,68.08,178.44,0.92,-1,-1,-1
60,3,505.26,157.28,75.74,180.88,0.89,-1,-1,-1
61,1,445.79,161.52,80.72,174.20,0.92,-1,-1,-1
61,2,1534.78,17.32,68.11,177.92,0.92,-1,-1,-1
61,3,505.48,157.19,75.60,181.08,0.90,-1,-1,-1
62,1,445.86,161.37,80.76,174.40,0.92,-1,-1,-1
62,2,1535.55,18.04,68.41,177.44,0.92,-1,-1,-1
62,3,505.66,157.37,75.37,181.16,0.90,-1,-1,-1
63,1,446.00,160.87,81.01,175.15,0.92,-1,-1,-1
63,2,1535.67,18.74,68.85,177.49,0.93,-1,-1,-1
63,3,505.91,157.22,75.35,181.42,0.90,-1,-1,-1
64,1,446.74,160.34,81.06,175.77,0.92,-1,-1,-1
64,2,1536.29,19.10,69.61,177.86,0.93,-1,-1,-1
64,3,506.13,157.05,75.56,181.74,0.90,-1,-1,-1
65,1,447.65,159.80,80.72,175.89,0.92,-1,-1,-1
65,2,1536.16,18.76,70.59,179.11,0.93,-1,-1,-1
65,3,506.44,156.98,76.05,181.86,0.91,-1,-1,-1
66,1,448.56,158.82,80.78,176.94,0.91,-1,-1,-1
66,2,1536.67,18.67,71.58,179.87,0.92,-1,-1,-1
66,3,506.46,156.62,76.88,182.13,0.91,-1,-1,-1
67,1,449.58,157.79,80.79,178.22,0.91,-1,-1,-1
67,2,1537.39,18.51,72.65,180.37,0.93,-1,-1,-1
67,3,505.70,156.37,77.82,182.23,0.90,-1,-1,-1
68,1,450.39,157.41,80.36,178.70,0.90,-1,-1,-1
68,2,1537.38,18.55,73.59,180.78,0.93,-1,-1,-1
68,3,503.60,156.17,79.12,182.49,0.87,-1,-1,-1
69,1,451.37,157.05,80.17,179.53,0.90,-1,-1,-1
69,2,1538.00,19.16,74.43,180.43,0.93,-1,-1,-1
69,3,502.38,155.76,80.46,183.03,0.84,-1,-1,-1
70,1,451.88,156.10,80.22,180.78,0.89,-1,-1,-1
70,2,1538.90,19.27,75.15,179.95,0.93,-1,-1,-1
70,3,500.54,155.22,81.96,183.62,0.83,-1,-1,-1
71,1,452.76,155.86,79.73,180.80,0.87,-1,-1,-1
71,2,1538.84,19.13,76.18,179.82,0.93,-1,-1,-1
71,3,500.23,154.46,83.09,183.95,0.83,-1,-1,-1
72,1,454.00,155.72,79.05,180.17,0.86,-1,-1,-1
72,2,1539.48,19.51,76.97,179.33,0.93,-1,-1,-1
72,3,503.48,154.07,83.02,183.95,0.80,-1,-1,-1
73,1,454.99,155.63,78.60,180.53,0.88,-1,-1,-1
73,2,1540.24,19.87,77.97,179.58,0.93,-1,-1,-1
73,3,506.01,153.71,82.64,183.95,0.84,-1,-1,-1
74,1,455.39,155.72,77.90,180.44,0.88,-1,-1,-1
74,2,1540.26,20.50,78.83,179.74,0.93,-1,-1,-1
74,3,507.54,153.81,82.23,183.94,0.84,-1,-1,-1
75,1,455.46,155.65,77.30,180.61,0.83,-1,-1,-1
75,2,1541.76,20.72,79.65,180.01,0.93,-1,-1,-1
75,3,505.01,153.52,82.90,184.49,0.76,-1,-1,-1
76,1,456.61,155.64,77.03,181.33,0.86,-1,-1,-1
76,2,1543.00,20.85,80.35,180.84,0.93,-1,-1,-1
76,3,505.75,153.42,82.85,184.47,0.78,-1,-1,-1
77,1,457.45,155.97,76.54,181.60,0.87,-1,-1,-1
77,2,1544.36,21.39,80.56,180.54,0.93,-1,-1,-1
77,3,507.56,153.94,82.43,184.34,0.80,-1,-1,-1
78,1,458.94,156.00,76.19,181.91,0.85,-1,-1,-1
78,2,1545.76,21.80,80.56,180.42,0.92,-1,-1,-1
78,3,509.37,154.15,81.76,184.29,0.78,-1,-1,-1
79,1,460.72,155.90,75.82,181.57,0.86,-1,-1,-1
79,2,1547.28,22.28,80.28,180.26,0.92,-1,-1,-1
79,3,509.94,153.90,81.28,184.37,0.72,-1,-1,-1
80,1,460.96,156.21,75.61,182.10,0.86,-1,-1,-1
80,2,1548.71,22.62,80.18,181.15,0.92,-1,-1,-1
80,3,509.44,153.69,81.13,184.73,0.80,-1,-1,-1
81,1,461.48,156.66,75.52,182.73,0.87,-1,-1,-1
81,2,1549.97,23.12,80.40,182.87,0.92,-1,-1,-1
81,3,509.08,153.51,80.94,184.76,0.80,-1,-1,-1
82,1,462.61,156.94,75.34,182.74,0.88,-1,-1,-1
82,2,1551.34,23.41,80.40,184.73,0.91,-1,-1,-1
82,3,509.36,153.61,80.47,183.81,0.86,-1,-1,-1
83,1,463.90,157.05,75.29,182.51,0.89,-1,-1,-1
83,2,1552.90,23.84,79.99,186.20,0.91,-1,-1,-1
83,3,510.23,153.43,80.06,183.45,0.87,-1,-1,-1
84,1,462.26,157.54,75.01,183.08,0.89,-1,-1,-1
84,2,1553.67,24.49,79.41,187.13,0.91,-1,-1,-1
84,3,510.10,153.37,79.90,183.31,0.87,-1,-1,-1
85,1,462.00,157.67,75.48,184.79,0.88,-1,-1,-1
85,2,1553.95,24.94,79.11,188.68,0.92,-1,-1,-1
85,3,509.92,153.46,79.65,183.04,0.85,-1,-1,-1
86,1,463.24,157.71,75.62,184.76,0.88,-1,-1,-1
86,2,1555.31,25.93,78.21,189.20,0.92,-1,-1,-1
86,3,509.92,153.39,79.40,182.72,0.86,-1,-1,-1
87,1,463.59,157.73,75.88,184.96,0.90,-1,-1,-1
87,2,1556.25,27.01,76.92,188.42,0.91,-1,-1,-1
87,3,510.50,153.81,79.02,182.15,0.87,-1,-1,-1
88,1,462.87,157.73,76.31,185.68,0.88,-1,-1,-1
88,2,1556.74,27.57,76.10,188.60,0.92,-1,-1,-1
88,3,510.04,154.08,78.87,181.94,0.84,-1,-1,-1
89,1,461.55,158.12,76.76,186.22,0.87,-1,-1,-1
89,2,1557.21,28.43,75.15,188.20,0.92,-1,-1,-1
89,3,508.67,154.52,78.98,181.87,0.83,-1,-1,-1
90,1,460.09,158.65,77.04,186.02,0.85,-1,-1,-1
